"<relative-time class=""no-wrap"" datetime=""2017-11-02T11:03:21Z"">Nov 2, 2017</relative-time>","Support for multi-root workspaces is now enabled by default in the stable release.<a href=""https://user-images.githubusercontent.com/900690/32322596-531e2f5a-bfc5-11e7-8604-c89490a503d7.gif"" rel=""noopener noreferrer"" target=""_blank""><img alt=""panel-red2"" src=""https://user-images.githubusercontent.com/900690/32322596-531e2f5a-bfc5-11e7-8604-c89490a503d7.gif"" style=""max-width:100%;""/>Please refer to our <a href=""https://code.visualstudio.com/docs/editor/multi-root-workspaces"" rel=""nofollow"">documentation for a full explanation of all the features that come with it. Extension authors should refer to our <a href=""https://github.com/Microsoft/vscode/wiki/Extension-Authoring:-Adopting-Multi-Root-Workspace-APIs"">wiki that explains the new extension APIs to make your extension ready for multi-root workspaces. We are happy that quite some extensions have already started to adopt the new multi-root API, thanks for that!Please do not hesitate to file issues for multi-root as you encounter them, we are still planning on making tweaks and providing additional APIs for extensions to work with multi-root workspaces in the future.",
"<relative-time class=""no-wrap"" datetime=""2017-11-02T22:01:47Z"">Nov 2, 2017</relative-time>","This is great, but when will it be available? You say it's in the stable build, but I have the latest Stable build (1.17.2) and can't update to it. Also, in the documentation that you just referenced, it said it's still in the Insider's build and will be in the stable release soon.I understand it may be a small while before the next build is released, but I saw this notification expecting it to be available. Sorry if I'm being impatient, I am just getting to a point in my current project where this is extremely necessary and is partially responsible for preventing me to continue.Edit: I apologize for my impatience. I was just trying to open a new window the manual way (call the .exe again) and it wasn't working, but didn't look in File &gt; Open New Window. This will work for now. Looking forward to the release of the next build. ",
"<relative-time class=""no-wrap"" datetime=""2017-11-10T14:59:30Z"">Nov 10, 2017</relative-time>",@bpasero Please close this #35849 open issue since the expected functionality has done as part this #396 feature.,"['https://github.com/bpasero', 'https://github.com/microsoft/vscode/issues/35849', 'https://github.com/microsoft/vscode/issues/35849', 'https://github.com/microsoft/vscode/issues/396', 'https://github.com/microsoft/vscode/issues/396']"
"<relative-time class=""no-wrap"" datetime=""2017-11-11T21:06:16Z"">Nov 11, 2017</relative-time>","Just a quick question. Is it possible, when I have opened more folders, to switch which folder I want to compile? At the moment it is always the first one in stable version.EDIT: This might be for the creator of PlatformIO extension, but I am asking on both sides. Just in case...",
"<relative-time class=""no-wrap"" datetime=""2017-11-13T05:53:46Z"">Nov 13, 2017</relative-time>","@DJManas it sounds like that this is up to the extension you are using to decide, so you should ask the author of the extension.",
"<relative-time class=""no-wrap"" datetime=""2017-11-13T08:08:04Z"">Nov 13, 2017</relative-time>","@bpasero Ok, I did in parallel, thank you for reply.",
"['Nov 21, 2015']",Right now it doesn't seem possible to opening multiple project folders in the same window which imho is a bit constraining. If you are working on modular modern projects it's a must have to be productive.,
"['Nov 21, 2015']","agree, but maybe it is a optimize  solution for memory",
"['Nov 21, 2015']",+1,
"['Nov 22, 2015']","I'm not sure I understand the ask; its a lightweight code editor, not an IDE ... why would you need to open multiple ""project"" folders that aren't hierarchical (where you could set the working path to a mutual parent)?If you're working on modules that are disparately stored on disk that are somehow interacting with each other to that degree, then they are too tightly coupled to begin with... are your projects siblings? If so, just open the parent folder, or parent / parent folder... wherever the root of your ""solution"" is.",
"['Nov 22, 2015']","Well, if you have a number of modules (which are all in their own git repository) that is independent of each other but you have one repository that uses those dependencies it makes sense to be able to open these independent folders and make changes that would be reflected so you can test it locally. That would still be a lightweight code editor but a more useful one imho!",
"['Nov 22, 2015']","The main issue with setting the project as the parent is that git integration goes away, there are other valid use cases beyond both having a mutual parent as well though.",
